developer_name,project_name,property_type,rooms_count,area,price_total,price_per_m2,floor,completion_year,address,district
DOGMA,DOGMA PARK,Коммерческая Недвижимость,*,82.5,16211000.0,196500.0,2,2027,"г. Краснодар, ул. Марины Цветаевой, д. 1",Пашковский
ССК,Ракурс,Квартира,5,28.3,3804000.0,134400.0,24,2028,"г. Краснодар, пер. Снежный, д. 72",Юбилейный
ССК,Сегодня,Квартира,3,109.7,14042000.0,128000.0,6,Сдан,"г. Краснодар, ул. Ветеранов, д. 85",Центральный
НЕОМЕТРИЯ,Южане,Квартира,2,66.9,8918000.0,133300.0,16,Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",Гидростроителей
DOGMA,DOGMA PARK,Квартира,3,87.3,14457000.0,165600.0,21,2027,"г. Краснодар, ул. Марины Цветаевой, д. 1",Пашковский
СЕМЬЯ,Тёплые края,Квартира,2,57.3,7145000.0,124700.0,16,Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",Российская
DOGMA,Квартал САМОЛЁТ,Коммерческая Недвижимость,*,59.5,7836000.0,131700.0,4,2028,"г. Краснодар, ул. им. Ивана Беличенко, д. 88",Российская
ССК,Лучший,Квартира,5,33.0,4336000.0,131400.0,15,2026,"г. Краснодар, наб. Степная, д. 94",Черёмушки
НЕОМЕТРИЯ,Айвазовский,Квартира,2,95.4,13175000.0,138100.0,8,Сдан,"г. Краснодар, ул. Старокубанская, д. 123а",Центральный
СЕМЬЯ,Все Свои VIP,Коммерческая Недвижимость,*,39.2,5233000.0,133500.0,2,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Гидростроителей
ССК,Сегодня,Коммерческая Недвижимость,*,89.6,11863000.0,132400.0,1,Сдан,"г. Краснодар, ул. Ветеранов, д. 85",Центральный
ССК,Дыхание,Квартира,4,108.8,14623000.0,134400.0,6,3кв. 2025,"г. Краснодар, ул. Летчика Позднякова, д. 2",Фестивальный
ТОЧНО,Патрики,Квартира,3,44.6,5682000.0,127400.0,10,2026,"г. Краснодар, пер. Монтажников, д. 163",Гидростроителей
DOGMA,Квартал САМОЛЁТ,Квартира,2,68.4,8516000.0,124500.0,7,2028,"г. Краснодар, ул. им. Ивана Беличенко, д. 88",Российская
ССК,Лучший,Квартира,1,71.3,8456000.0,118600.0,16,2026,"г. Краснодар, наб. Степная, д. 94",Черёмушки
DOGMA,МКР САМОЛЁТ,Квартира,2,35.9,4509000.0,125600.0,22,Сдан,"г. Краснодар, ул. Ивана Беличенко, д. 90",Центральный
Ava Dom,Режиссёр,Коммерческая Недвижимость,*,85.1,16458000.0,193400.0,3,2026,"г. Краснодар, ул. Старокубанская, д. 100/6",Черёмушки
НЕОМЕТРИЯ,Южане,Квартира,5,98.0,13681000.0,139600.0,7,Сдан,"г. Краснодар, ул. им. Даниила Смоляна, д. 78",Гидростроителей
ССК,Фонтаны,Коммерческая Недвижимость,*,93.4,15178000.0,162500.0,3,2026,"г. Краснодар, ул. Старокубанская, д. 2/23",Гидростроителей
ССК,Фонтаны,Квартира,2,104.7,15705000.0,150000.0,11,2026,"г. Краснодар, ул. Старокубанская, д. 2/23",Гидростроителей
Ava Dom,The Grand Palace,Коммерческая Недвижимость,*,56.5,16040000.0,283900.0,1,Сдан,"г. Краснодар, ул.Уральская, д. 75/6",Гидростроителей
DOGMA,ПАРК ПОБЕДЫ,Квартира,5,78.0,10156000.0,130200.0,9,Сдан,"​г. Краснодар, ул. им. Героя Пешкова, д. 14",Российская
ССК,Дыхание,Квартира,5,119.4,16561000.0,138700.0,3,3кв. 2025,"г. Краснодар, ул. Летчика Позднякова, д. 2",Фестивальный
СЕМЬЯ,Тёплые края,Квартира,5,99.8,13453000.0,134800.0,18,Сдан,"г. Краснодар, ул. им. Александра Гикало, д. 11",Российская
Ava Dom,The Grand Palace,Коммерческая Недвижимость,*,91.4,21049000.0,230300.0,4,Сдан,"г. Краснодар, ул.Уральская, д. 75/6",Гидростроителей
БЭЛ Девелопмент,Green Apple,Квартира,2,116.6,14785000.0,126800.0,6,Сдан,"г. Краснодар, пр. Придорожный, д. 60",Российская
Ava Dom,Новелла,Коммерческая Недвижимость,*,117.6,18169000.0,154500.0,1,Сдан,"г. Краснодар, ул.Питерская, д. 40",Черёмушки
ССК,Дыхание,Коммерческая Недвижимость,*,108.6,16866000.0,155300.0,2,3кв. 2025,"г. Краснодар, ул. Летчика Позднякова, д. 2",Фестивальный
ССК,Ракурс,Квартира,4,108.3,14404000.0,133000.0,4,2028,"г. Краснодар, пер. Снежный, д. 72",Юбилейный
ТОЧНО,ПЕРВОЕ МЕСТО,Квартира,3,76.3,9835000.0,128900.0,6,Сдан,"г. Краснодар, бул. Лесный, д. 69",Черёмушки
ССК,Дыхание,Апартаменты,*,107.9,13164000.0,122000.0,19,3кв. 2025,"г. Краснодар, ул. Летчика Позднякова, д. 2",Фестивальный
СЕМЬЯ,Все Свои VIP,Квартира,1,98.7,11548000.0,117000.0,17,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Гидростроителей
СЕМЬЯ,Все Свои Vip,Квартира,4,54.3,7184000.0,132300.0,24,Сдан,"г. Краснодар, ул. Колхозная, д. 5/2",Центральный
ССК,Фонтаны,Коммерческая Недвижимость,*,111.7,17302000.0,154900.0,4,2026,"г. Краснодар, ул. Старокубанская, д. 2/23",Гидростроителей
НЕОМЕТРИЯ,Айвазовский,Квартира,2,95.1,12449000.0,130900.0,7,Сдан,"г. Краснодар, ул. Старокубанская, д. 123а",Центральный
ТОЧНО,ПЕРВОЕ МЕСТО,Коммерческая Недвижимость,*,66.7,10359000.0,155300.0,1,Сдан,"г. Краснодар, бул. Лесный, д. 69",Черёмушки
Ava Dom,Режиссёр,Апартаменты,*,57.2,9398000.0,164300.0,24,2026,"г. Краснодар, ул. Старокубанская, д. 100/6",Черёмушки
DOGMA,Квартал САМОЛЁТ,Коммерческая Недвижимость,*,61.6,7823000.0,127000.0,1,2028,"г. Краснодар, ул. им. Ивана Беличенко, д. 88",Российская
